instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_m2D_s70_AB05 59015 1000000 2458 18452 37099 14342 10213 5003 2288
mcs10_m2D_s70_AB06 71320 1000000 2137 25207 38238 16043 12627 3171 1944
mcs10_m2D_s70_AB07 216339 489792 21499 38108 121081 45074 38450 33474 19067
mcs10_m2D_s70_AB08 35703 1000000 1246 97233 19322 7078 4672 1994 1074
mcs10_m2D_s70_AB09 227149 523471 5558 97570 70774 26841 18103 11768 5465
mcs10_m2D_s80_AB00 1000000 1000000 783737 118700 1000000 1000000 1000001 1000004 822229
mcs10_m2D_s80_AB01 1000000 1000000 1000002 1000001 1000000 1000001 1000001 1000001 1000008
mcs10_m2D_s80_AB02 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_m2D_s80_AB03 1000000 1000000 1000002 1000002 1000000 1000001 1000000 1000002 1000002
mcs10_m2D_s80_AB04 1000000 1000000 485733 1000002 1000000 1000001 1000001 1000001 486670
mcs10_m2D_s80_AB05 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs10_m2D_s80_AB06 1000000 1000000 1000002 1000001 1000000 1000001 1000000 1000001 1000002
mcs10_m2D_s80_AB07 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs10_m2D_s80_AB08 1000000 1000000 302955 1000001 1000000 1000001 1000002 610222 304178
mcs10_m2D_s80_AB09 1000000 1000000 1000008 1000002 1000000 1000001 1000001 1000002 1000009
mcs10_m2D_s90_AB00 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_m2D_s90_AB01 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000003
mcs10_m2D_s90_AB02 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_m2D_s90_AB03 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
